tas,time_bnds,geo_region
9.969209968386869e+36,1884-01-01,b'Channel Islands         '
9.969209968386869e+36,1885-01-01,b'Channel Islands         '
9.264591840631681,1884-01-01,b'England                 '
9.264591840631681,1885-01-01,b'England                 '
9.190490101099433,1884-01-01,b'England and Wales       '
9.190490101099433,1885-01-01,b'England and Wales       '
8.723893493825804,1884-01-01,b'Isle of Man             '
8.723893493825804,1885-01-01,b'Isle of Man             '
8.700208937642099,1884-01-01,b'Northern Ireland        '
8.700208937642099,1885-01-01,b'Northern Ireland        '
7.058388992727774,1884-01-01,b'Scotland                '
7.058388992727774,1885-01-01,b'Scotland                '
8.479688574474057,1884-01-01,b'United Kingdom          '
8.479688574474057,1885-01-01,b'United Kingdom          '
8.724265466267722,1884-01-01,b'Wales                   '
8.724265466267722,1885-01-01,b'Wales                   '
9.969209968386869e+36,1885-01-01,b'Channel Islands         '
9.969209968386869e+36,1886-01-01,b'Channel Islands         '
8.114810719367984,1885-01-01,b'England                 '
8.114810719367984,1886-01-01,b'England                 '
8.041009113593594,1885-01-01,b'England and Wales       '
8.041009113593594,1886-01-01,b'England and Wales       '
7.670416422820733,1885-01-01,b'Isle of Man             '
7.670416422820733,1886-01-01,b'Isle of Man             '
7.811645647927193,1885-01-01,b'Northern Ireland        '
7.811645647927193,1886-01-01,b'Northern Ireland        '
5.973732550746015,1885-01-01,b'Scotland                '
5.973732550746015,1886-01-01,b'Scotland                '
7.366008274648923,1885-01-01,b'United Kingdom          '
7.366008274648923,1886-01-01,b'United Kingdom          '
7.576672825142692,1885-01-01,b'Wales                   '
7.576672825142692,1886-01-01,b'Wales                   '
9.969209968386869e+36,1886-01-01,b'Channel Islands         '
9.969209968386869e+36,1887-01-01,b'Channel Islands         '
8.252515428498276,1886-01-01,b'England                 '
8.252515428498276,1887-01-01,b'England                 '
8.200533014642406,1886-01-01,b'England and Wales       '
8.200533014642406,1887-01-01,b'England and Wales       '
7.797252223371847,1886-01-01,b'Isle of Man             '
7.797252223371847,1887-01-01,b'Isle of Man             '
7.789774901717572,1886-01-01,b'Northern Ireland        '
7.789774901717572,1887-01-01,b'Northern Ireland        '
5.948260620056972,1886-01-01,b'Scotland                '
5.948260620056972,1887-01-01,b'Scotland                '
7.45584927426589,1886-01-01,b'United Kingdom          '
7.45584927426589,1887-01-01,b'United Kingdom          '
7.8734761591541815,1886-01-01,b'Wales                   '
7.8734761591541815,1887-01-01,b'Wales                   '
9.969209968386869e+36,1887-01-01,b'Channel Islands         '
9.969209968386869e+36,1888-01-01,b'Channel Islands         '
7.97450145405824,1887-01-01,b'England                 '
7.97450145405824,1888-01-01,b'England                 '
7.913922984675953,1887-01-01,b'England and Wales       '
7.913922984675953,1888-01-01,b'England and Wales       '
7.999841970034619,1887-01-01,b'Isle of Man             '
7.999841970034619,1888-01-01,b'Isle of Man             '
